site_id,reach_id,site_name,river,site_category,latitude,longitude,site_type,state,county,huc,drainage_area_sqmi,contributing_area_sqmi,altitude_ft,vertical_datum,time_zone,action_stage_ft,minor_flood_stage_ft,moderate_flood_stage_ft,major_flood_stage_ft,gauge_status,has_reach_id,has_flood_categories,flood_thresholds_valid,notes,basin_code
08208000,10828654,"Atascosa Rv at Whitsett, TX",Atascosa River,Stream,28.6222089930774,-98.281398821235,Stream,Texas,Live Oak County,12110111,1171.0,1171.0,158.71,North American Vertical Datum of 1988,CST,20.0,20.0,24.0,26.0,active,True,True,True,NOAA reports the same threshold for action and minor flooding.,
08206900,,"Choke Canyon Res nr Three Rivers, TX",Choke Canyon Reservoir,Reservoir,28.4838811108516,-98.2458419627888,"Lake, Reservoir, Impoundment",Texas,Live Oak County,121101080505,5490.0,5490.0,0.0,National Geodetic Vertical Datum of 1929,CST,,,,,active,False,False,,No flood-stage category data shown on NOAA NWPS.,
08205500,10661028,"Frio Rv nr Derby, TX",Frio River,Stream,28.736644289516,-99.1447556457266,Stream,Texas,Frio County,121101061205,3429.0,3429.0,449.05,North American Vertical Datum of 1988,CST,6.0,6.0,7.0,17.0,active,True,True,True,NOAA reports the same threshold for action and minor flooding.,
08206600,10664196,"Frio Rv at Tilden, TX",Frio River,Stream,28.4674927922804,-98.5475173731209,Stream,Texas,McMullen County,121101080501,4493.0,4493.0,212.66,North American Vertical Datum of 1988,CST,12.0,22.0,26.0,27.0,active,True,True,True,,
08193000,10893541,"Nueces Rv nr Asherton, TX",Nueces River,Stream,28.5002631324022,-99.6819934612521,Stream,Texas,Dimmit County,121101030306,4082.0,4082.0,470.53,North American Vertical Datum of 1988,CST,18.0,20.0,24.0,27.0,active,True,True,True,,
08194000,10630401,"Nueces Rv at Cotulla, TX",Nueces River,Stream,28.4263788858401,-99.2400322354091,Stream,Texas,La Salle County,121101050201,5171.0,5171.0,368.19,North American Vertical Datum of 1988,CST,9.0,15.0,15.0,17.0,active,True,True,True,NOAA reports the same threshold for minor and moderate flooding.,
08194500,10631613,"Nueces Rv nr Tilden, TX",Nueces River,Stream,28.3088890560202,-98.5572384002473,Stream,Texas,McMullen County,121101051105,8093.0,8093.0,183.1,North American Vertical Datum of 1988,CST,11.0,14.0,16.0,19.0,active,True,True,True,,
08210000,3168766,"Nueces Rv nr Three Rivers, TX",Nueces River,Stream,28.4274954547988,-98.1780625180755,Stream,Texas,Live Oak County,121101110101,15427.0,15427.0,166.31,North American Vertical Datum of 1988,CST,20.0,25.0,27.0,35.0,active,True,True,True,,
08210100,,"Nueces Rv at George West, TX",Nueces River,Stream,28.3327777777778,-98.0855555555555,Stream,Texas,Live Oak County,121101110204,15724.0,15724.0,69.58,North American Vertical Datum of 1988,CST,,,,,discontinued,False,False,,Gauge discontinued after 2010.,
08206700,10671061,"San Miguel Ck nr Tilden, TX",San Miguel Creek,Stream,28.5874878693366,-98.54585128707,Stream,Texas,McMullen County,121101090503,783.0,783.0,242.56,North American Vertical Datum of 1988,CST,12.0,21.0,23.0,26.0,active,True,True,True,,
